cohort_id,gene,effect_size,log2fc,pvalue,n_prog,n_nonprog
GSE107994,CEP250,-0.842875639792348,-0.0477677939099399,1.1954243014776098e-07,53,122
GSE107994,CEP290,-1.0039523097161325,-0.393689362572849,1.8614245782733984e-06,53,122
GSE107994,CEP350,-0.2181194407965525,-0.0180350568493747,0.1255600260373729,53,122
GSE107994,CEP41,-0.5765434112069657,-0.1488645666037811,0.0052483088875498,53,122
GSE107994,CEP44,-0.5713205335757556,-0.1666007335547412,0.0036220228771643,53,122
GSE107994,CEP57,-0.985204635746162,-0.2049700939082643,4.8634869567215965e-06,53,122
GSE107994,CEP63,0.6716019979403997,0.0529562749931185,7.72171267361231e-05,53,122
GSE107994,CEP68,-1.1441386613018196,-0.1509838708976594,4.770514796704468e-09,53,122
GSE107994,CEP70,-0.7657066496978295,-0.2882152559998546,7.260505849397348e-07,53,122
GSE107994,CEP72,-0.9927723298762616,-0.4010894842047913,2.514717648388461e-06,53,122
GSE107994,CEP76,-0.7058942990694984,-0.2495877780309523,1.0462247648939291e-05,53,122
GSE107994,CEP78,-1.1686708200498184,-0.2162452030949717,1.4341757153041153e-08,53,122
GSE107994,CEP85,-1.0203082056746158,-0.1316004730419226,1.5474585134773328e-05,53,122
GSE107994,CEP89,-0.6480465124598722,-0.0611159526481617,0.0003609286111716,53,122
GSE107994,CEP95,-1.4188334133238512,-0.1126592540301487,4.2579383865296463e-10,53,122
GSE107994,CEP97,-0.2485817954219727,-0.0744338944068538,0.1886225738868702,53,122
GSE107994,CEPT1,0.1108490570284586,0.0129201085678727,0.4994525228031163,53,122
GSE107994,CERCAM,0.0067657503440739,0.0028312292772154,0.9642640817155496,53,122
GSE107994,CERK,-1.2658553039795226,-0.0564025115306598,3.463740308276386e-09,53,122
GSE107994,CERS2,-0.1010218691805378,-0.0043485349801697,0.605078487805013,53,122
GSE107994,CERS4,-0.3765069118556747,-0.0424232249150851,0.0428071721513291,53,122
GSE107994,CERS5,0.7649038021642798,0.0443642012629554,6.277355338945502e-05,53,122
GSE107994,CERS6,-0.0609283984092128,-0.0106372421122689,0.7767174196222277,53,122
GSE107994,CES1,0.4525910386238924,0.3435295229905568,0.0034188986459427,53,122
GSE107994,CES2,0.3473193194328965,0.022228800684886,0.057088615738485,53,122
GSE107994,CES4A,0.5083066022657281,0.0796467540178851,0.0042185784145365,53,122
GSE107994,CETN2,0.7832515544217828,0.0871755698626199,1.275348770347096e-05,53,122
GSE107994,CETN3,-0.4936411468688785,-0.1986069138122161,0.0048443617215632,53,122
GSE107994,CETP,1.4342525603026988,0.7919510344428111,7.949869043689629e-13,53,122
GSE107994,CFD,0.5918224198606884,0.0957237718431742,0.0006638842823147,53,122
GSE107994,CFDP1,0.5327621844101729,0.0462864818483925,0.0040990421097642,53,122
GSE107994,CFH,0.0753605004461864,0.0473563692473224,0.6486315981795605,53,122
GSE107994,CFL1,1.114032797842096,0.0552550250474301,5.934204733770805e-08,53,122
GSE107994,CFL2,-0.7477335111159313,-0.3470850884033691,4.122846448793909e-05,53,122
GSE107994,CFLAR,1.2389753646036377,0.0770576261798692,8.14010637411706e-10,53,122
GSE107994,CFP,1.1648731399355416,0.0847776852451747,6.285750865819821e-09,53,122
GSE107994,CGGBP1,0.64393401659333,0.0524498954423182,8.479134236758842e-05,53,122
GSE107994,CGRRF1,0.1169884314106701,0.0185061932822214,0.4984700791388281,53,122
GSE107994,CHAD,-0.501448182592591,-0.183794068098063,0.0002998880729884,53,122
GSE107994,CHAF1A,-0.1366850277818475,-0.0141478668913159,0.418049518692429,53,122
GSE107994,CHAF1B,-0.4020540302859645,-0.1302142230988661,0.022111220142715,53,122
GSE107994,CHAMP1,-0.7036399761409949,-0.1316194113166409,0.0004006451229603,53,122
GSE107994,CHCHD1,1.027444277503737,0.0922541251506876,1.7381787382405153e-07,53,122
GSE107994,CHCHD10,0.4990967528846476,0.0599899893088156,0.0031453914575157,53,122
GSE107994,CHCHD2,0.7690537410447121,0.043773695808404,1.3529724142450797e-05,53,122
GSE107994,CHCHD3,-0.5888731067986528,-0.0816880664112362,0.0085634286770516,53,122
GSE107994,CHCHD4,0.0459801147856708,0.0058457515602599,0.791982844468292,53,122
GSE107994,CHCHD5,0.9185176961209888,0.111855774317318,1.87363846910812e-06,53,122
GSE107994,CHCHD6,-1.087584081107242,-0.3508629440832551,2.5492870632094564e-07,53,122
GSE107994,CHCHD7,-0.1232565132809999,-0.0086278318349379,0.5253831486672338,53,122
GSE107994,CHD1,0.0721022035020751,0.0121756590039248,0.645118718238427,53,122
GSE107994,CHD1L,-0.8122198810851625,-0.0798747232447931,2.670655375735479e-05,53,122
GSE107994,CHD2,-0.9777879015018368,-0.047855382197909,2.593754037775393e-06,53,122
GSE107994,CHD3,-1.2515282438486424,-0.0595039950292179,4.181297199158604e-10,53,122
GSE107994,CHD4,-0.2485432424800636,-0.0089302597182485,0.184897348183292,53,122
GSE107994,CHD6,-1.2928694934719416,-0.2093757778055325,1.3458344457712418e-07,53,122
GSE107994,CHD7,-0.5077712176279692,-0.04491639273881,0.0029237557354721,53,122
GSE107994,CHD8,-0.1187386198899119,-0.003719556826891,0.4782248764576272,53,122
GSE107994,CHD9,-0.394092254657064,-0.0754642675706227,0.0301643541302096,53,122
GSE107994,CHEK1,-0.0475246554883198,-0.016028302426865,0.7754055756928786,53,122
GSE107994,CHEK2,-0.7121943928619212,-0.1353766494576151,0.0008494598519448,53,122
GSE107994,CHERP,-0.1126458723194683,-0.0051367465537683,0.4818267417453231,53,122
GSE107994,CHFR,0.7035615295240353,0.0287350260300511,4.755348762791464e-05,53,122
