gene,posterior_mean,posterior_sd,ci95_low,ci95_high,post_prob_positive,tau2,n_cohorts,posterior_abs_mean
PISD,0.72392411922693,0.07222656246675802,0.5823600567920844,0.8654881816617757,1.0,0.0037249723851358204,2,0.72392411922693
SP1,0.7238313668342671,0.0576390417704235,0.610858844964237,0.8368038887042971,1.0,0.0,2,0.7238313668342671
IQGAP1,0.7235387894074874,0.0576390417704235,0.6105662675374574,0.8365113112775174,1.0,0.0,2,0.7235387894074874
C1GALT1C1,0.7230979111209439,0.0576390417704235,0.6101253892509139,0.8360704329909739,1.0,0.0,2,0.7230979111209439
SLC6A8,0.7212135085982674,0.0576390417704235,0.6082409867282373,0.8341860304682974,1.0,0.0,2,0.7212135085982674
GATAD2A,0.7210766921751748,0.0576390417704235,0.6081041703051447,0.8340492140452048,1.0,0.0,2,0.7210766921751748
ZFP36,0.7186130494578895,0.0576390417704235,0.6056405275878595,0.8315855713279195,1.0,0.0,2,0.7186130494578895
XK,0.7183923813067806,0.0576390417704235,0.6054198594367506,0.8313649031768107,1.0,0.0,2,0.7183923813067806
SMAP2,0.7179327486998617,0.0576390417704235,0.6049602268298316,0.8309052705698917,1.0,0.0,2,0.7179327486998617
NBR1,0.7155429037012945,0.0576390417704235,0.6025703818312644,0.8285154255713245,1.0,0.0,2,0.7155429037012945
PIK3CB,0.7138410068178375,0.0576390417704235,0.6008684849478074,0.8268135286878675,1.0,0.0,2,0.7138410068178375
HBD,0.7122470746198863,0.0576390417704235,0.5992745527498563,0.8252195964899164,1.0,0.0,2,0.7122470746198863
VIM,0.7113374510537227,0.0576390417704235,0.5983649291836927,0.8243099729237527,1.0,0.0,2,0.7113374510537227
KLHL18,0.7099534642651063,0.0576390417704235,0.5969809423950763,0.8229259861351363,1.0,0.0,2,0.7099534642651063
WIPF2,0.7099440568750496,0.0576390417704235,0.5969715350050195,0.8229165787450796,1.0,0.0,2,0.7099440568750496
UBE2D3,0.7093328074869318,0.0576390417704235,0.5963602856169018,0.8223053293569619,1.0,0.0,2,0.7093328074869318
RHOT1,0.707360166082733,0.0576390417704235,0.594387644212703,0.820332687952763,1.0,0.0,2,0.707360166082733
PGK1,0.7069995969222997,0.08328804586538428,0.5437550270261465,0.870244166818453,1.0,0.007136822382461712,2,0.7069995969222997
TMEM63B,0.7054479780249445,0.06525904766286267,0.5775402446057337,0.8333557114441553,1.0,0.0018346488305894483,2,0.7054479780249445
RAP1GAP,0.704692282650717,0.06615210456242926,0.5750341577083558,0.8343504075930783,1.0,0.002065660072685727,2,0.704692282650717
NEDD4L,0.7037283270950193,0.0576390417704235,0.5907558052249893,0.8167008489650494,1.0,0.0,2,0.7037283270950193
GALNT14,0.7034189726810658,0.0576390417704235,0.5904464508110358,0.8163914945510958,1.0,0.0,2,0.7034189726810658
IL4R,0.7007767098273052,0.0576390417704235,0.5878041879572752,0.8137492316973353,1.0,0.0,2,0.7007767098273052
BIN2,0.7006114655822562,0.0576390417704235,0.5876389437122261,0.8135839874522862,1.0,0.0,2,0.7006114655822562
P2RX7,0.6994728309079071,0.05905017358167634,0.5837344906878215,0.8152111711279928,1.0,0.0003211982787044031,2,0.6994728309079071
NFE2L1,0.6989473746299669,0.0576390417704235,0.5859748527599369,0.811919896499997,1.0,0.0,2,0.6989473746299669
SMG5,0.6988708407580907,0.0576390417704235,0.5858983188880607,0.8118433626281207,1.0,0.0,2,0.6988708407580907
RAB10,0.6984407423189816,0.0576390417704235,0.5854682204489515,0.8114132641890116,1.0,0.0,2,0.6984407423189816
ACSL1,0.6973446519765789,0.0576390417704235,0.5843721301065489,0.810317173846609,1.0,0.0,2,0.6973446519765789
ALPL,0.6957705028900855,0.06451660935993407,0.5693179485446147,0.8222230572355562,1.0,0.0016451374687926291,2,0.6957705028900855
SLPI,0.6921304472684146,0.0576390417704235,0.5791579253983845,0.8051029691384446,1.0,0.0,2,0.6921304472684146
CEP63,0.6891801455015494,0.0576390417704235,0.5762076236315193,0.8021526673715794,1.0,0.0,2,0.6891801455015494
IL13RA1,0.6883942340331602,0.0576390417704235,0.5754217121631302,0.8013667559031903,1.0,0.0,2,0.6883942340331602
RUNDC1,0.6872638373773131,0.0756602541513717,0.5389697392406245,0.8355579355140017,1.0,0.004730386789446401,2,0.6872638373773131
PBX1,0.6857113983254862,0.06820753662502171,0.5520246265404436,0.8193981701105288,1.0,0.0026099838049830426,2,0.6857113983254862
PAQR6,0.6849084457796155,0.0576390417704235,0.5719359239095855,0.7978809676496456,1.0,0.0,2,0.6849084457796155
RAB2A,0.6840622958468379,0.06350914927053475,0.5595843632765898,0.808540228417086,1.0,0.0013916715823260098,2,0.6840622958468379
SAP30,0.6836363992634505,0.0576390417704235,0.5706638773934205,0.7966089211334806,1.0,0.0,2,0.6836363992634505
GLRX5,0.6799533912971591,0.08214888165590961,0.5189415832515764,0.8409651993427419,1.0,0.006762339670905007,2,0.6799533912971591
EMID1,0.6790462481977918,0.0576390417704235,0.5660737263277618,0.7920187700678218,1.0,0.0,2,0.6790462481977918
WDFY3,0.6784733811569273,0.0576390417704235,0.5655008592868973,0.7914459030269574,1.0,0.0,2,0.6784733811569273
C10ORF105,0.676944686310416,0.0576390417704235,0.563972164440386,0.7899172081804461,1.0,0.0,2,0.676944686310416
SESN2,0.6756370365128028,0.0576390417704235,0.5626645146427728,0.7886095583828329,1.0,0.0,2,0.6756370365128028
MCTP2,0.6735134128187615,0.0576390417704235,0.5605408909487315,0.7864859346887916,1.0,0.0,2,0.6735134128187615
MLLT1,0.6647825299824934,0.0576390417704235,0.5518100081124634,0.7777550518525235,1.0,0.0,2,0.6647825299824934
CMBL,0.66464813482065,0.0576390417704235,0.55167561295062,0.77762065669068,1.0,0.0,2,0.66464813482065
RASSF2,0.6642707630539553,0.0576390417704235,0.5512982411839252,0.7772432849239853,1.0,0.0,2,0.6642707630539553
STK3,0.6633349538561527,0.0576390417704235,0.5503624319861227,0.7763074757261827,1.0,0.0,2,0.6633349538561527
RAB43,0.6633319691231281,0.0576390417704235,0.550359447253098,0.7763044909931581,1.0,0.0,2,0.6633319691231281
RBM38,0.6630680784294766,0.0576390417704235,0.5500955565594465,0.7760406002995066,1.0,0.0,2,0.6630680784294766
YPEL4,0.6620995127242228,0.0576390417704235,0.5491269908541928,0.7750720345942529,1.0,0.0,2,0.6620995127242228
GPRIN1,0.6614221857385931,0.0576390417704235,0.5484496638685631,0.7743947076086232,1.0,0.0,2,0.6614221857385931
TMEM33,0.6611792572716851,0.0576390417704235,0.5482067354016551,0.7741517791417152,1.0,0.0,2,0.6611792572716851
SETX,0.6598231112891874,0.0576390417704235,0.5468505894191573,0.7727956331592174,1.0,0.0,2,0.6598231112891874
RNF20,0.6590445575186092,0.07245173376822917,0.51703915933288,0.8010499557043385,1.0,0.003789416757843991,2,0.6590445575186092
KCNH3,0.6589844884429608,0.0576390417704235,0.5460119665729307,0.7719570103129908,1.0,0.0,2,0.6589844884429608
TSG101,0.657926295417841,0.0576390417704235,0.5449537735478109,0.770898817287871,1.0,0.0,2,0.657926295417841
OXTR,0.657552090595375,0.0576390417704235,0.544579568725345,0.770524612465405,1.0,0.0,2,0.657552090595375
PRMT5,0.6566004978895804,0.0576390417704235,0.5436279760195504,0.7695730197596105,1.0,0.0,2,0.6566004978895804
BRD4,0.6548187462450002,0.0576390417704235,0.5418462243749702,0.7677912681150303,1.0,0.0,2,0.6548187462450002
STAT5B,0.6534529992273799,0.0576390417704235,0.5404804773573498,0.7664255210974099,1.0,0.0,2,0.6534529992273799
