gene,module
IGKV2D-28,M5
IGKV2D-29,M5
IGKV2D-30,M5
IGKV3-11,M5
IGLV3-9,M5
IGLV8-61,M5
IGSF9B,M5
IL12RB2,M5
IL5RA,M5
IL9R,M5
ILF2,M5
ILF3,M5
IMMP2L,M5
IMPDH1P10,M5
IMPDH2,M5
INIP,M5
INPP4A,M5
INTS11,M5
INTS2,M5
INTS5,M5
INTS6,M5
IPO13,M5
IPO5,M5
IPPK,M5
IQSEC3-AS2,M5
IRAK3,M5
IRF2BP1,M5
IRF4,M5
IRF8,M5
ISOC1,M5
ISOC2,M5
ISYNA1,M5
ITCH,M5
ITGA3,M5
ITGAE,M5
ITGAV,M5
ITGB1BP1,M5
ITGB7,M5
ITPKB,M5
ITPRIPL1,M5
JAKMIP1,M5
JARID2,M5
JMJD7-PLA2G4B,M5
JMJD8,M5
JOSD1,M5
KALRN,M5
KANK3,M5
KAT6A,M5
KBTBD2,M5
KBTBD8,M5
KCNN4,M5
KCTD15,M5
KDM2A,M5
KDM4A,M5
KDM5B,M5
KHDRBS1,M5
KIF18B,M5
KIF22,M5
KIF23,M5
KIF5B,M5
KIN,M5
KIR3DL2,M5
KIT,M5
KLC1,M5
KLF11,M5
KLF13,M5
KLF8,M5
KLHL6,M5
KLHL7,M5
KLK1,M5
KLRA1P,M5
KLRB1,M5
KLRC2,M5
KLRD1,M5
KLRF1,M5
KMT2A,M5
KMT2D,M5
KMT5A,M5
KNDC1,M5
KPNA5,M5
KPNA6,M5
KRIT1,M5
KRR1,M5
KRT72,M5
KSR1,M5
L3HYPDH,M5
L3MBTL3,M5
LACC1,M5
LAMP2,M5
LCN10,M5
LCNL1,M5
LEO1,M5
LFNG,M5
LGALS4,M5
LIAT1,M5
LIG1,M5
LILRA2,M5
LILRB2,M5
LIM2,M5
LIMA1,M5
LIMS2,M5
LIN7C,M5
LINC00106,M5
LINC00243,M5
LINC00402,M5
LINC00662,M5
LINC00680,M5
LINC00987,M5
LINC00996,M5
LINC01002,M5
LINC01089,M5
LINC01126,M5
LINC01451,M5
LINC01588,M5
LINC01619,M5
LINC01800,M5
LINC01857,M5
LINC01934,M5
LINC02295,M5
LINC02446,M5
LINC02611,M5
LINC02887,M5
LINC02937,M5
LINC02968,M5
LINC03011,M5
LINS1,M5
LIX1-AS1,M5
LMAN1,M5
LMLN,M5
LMNB2,M5
LMNTD2,M5
LNC-WAL,M5
LNCRNA-IUR,M5
LNX2,M5
LONP1,M5
LOXL2,M5
LPIN2,M5
LRP5,M5
LRP8,M5
LRRC37A2-AS1,M5
LRRC37BP1,M5
LRRC40,M5
LRRC42,M5
LRRC57,M5
LRRC8D,M5
LRRCC1,M5
LSM1,M5
LSM11,M5
LSM14B,M5
LSM4,M5
LSS,M5
LTO1,M5
LY6S-AS1,M5
LY96,M5
LYRM1,M5
LYRM2,M5
LYRM4,M5
LYSET,M5
LZTR1,M5
LZTS1,M5
M6PR,M5
MACO1,M5
MAD2L1BP,M5
MAGEF1,M5
MAGEH1,M5
MAGT1,M5
MALAT1,M5
MALT1,M5
MAN2C1,M5
MAP3K10,M5
MAP6D1,M5
MAPK8IP1P2,M5
MAPKAPK5-AS1,M5
MAPKBP1,M5
MARCHF6,M5
MARF1,M5
MATK,M5
MBD3,M5
MBIP,M5
MBLAC1,M5
MBLAC2,M5
MBOAT7,M5
MBTPS1,M5
MCM3,M5
MCMBP,M5
MCRIP1,M5
MCUB,M5
MDH1,M5
MDH2,M5
MEA1,M5
MEAK7,M5
MED12,M5
MED13,M5
MED20,M5
MED21,M5
MED24,M5
MED28,M5
MEF2C,M5
MEG3,M5
MEN1,M5
MEOX1,M5
MERTK,M5
METAP1D,M5
METTL14,M5
METTL17,M5
METTL2B,M5
MFAP3,M5
MFSD11,M5
MFSD8,M5
MGAM,M5
MGAM2,M5
MHENCR,M5
MIA2,M5
MIB2,M5
MICOS13,M5
MIEF1,M5
MIGA1,M5
MIGA2,M5
MINDY2,M5
MINDY3,M5
MIPEP,M5
MIR25,M5
MIR4453HG,M5
MIR762HG,M5
MIRLET7A1HG,M5
MIRLET7D,M5
MIRLET7IHG,M5
MIS12,M5
MIS18A,M5
MKRN2,M5
MMADHC,M5
MMP17,M5
MMS22L,M5
MOB1B,M5
MOB2,M5
MOCS3,M5
MORF4L1,M5
MORF4L2,M5
MPHOSPH10P1,M5
MPIG6B,M5
MPRIP,M5
